"id","finance","id_finance_id","finance_en"
"715","90 يوم","52081300","90 days"
"716","90 يوم","52081900","90 days"
"717","90 يوم","52082100","90 days"
"718","90 يوم","52082300","90 days"
"719","90 يوم","52082900","90 days"
"720","90 يوم","52083100","90 days"
"721","90 يوم","52083200","90 days"
"722","90 يوم","52083900","90 days"
"723","90 يوم","52084200","90 days"
"724","90 يوم","52084900","90 days"
"725","90 يوم","52085100","90 days"
"726","90 يوم","52085200","90 days"
"727","90 يوم","52085900","90 days"
"728","90 يوم","52091100","90 days"
"729","90 يوم","52091900","90 days"
"730","90 يوم","52092100","90 days"
"731","90 يوم","52092200","90 days"
"732","90 يوم","52092900","90 days"
"733","90 يوم","52093100","90 days"
"734","90 يوم","52093200","90 days"
"735","90 يوم","52093900","90 days"
"736","90 يوم","52094200","90 days"
"737","90 يوم","52094300","90 days"
"738","90 يوم","52094900","90 days"
"739","90 يوم","52095900","90 days"
"740","90 يوم","52101100","90 days"
"741","90 يوم","52101900","90 days"
"742","90 يوم","52102900","90 days"
"743","90 يوم","52103900","90 days"
"744","90 يوم","52104900","90 days"
"745","90 يوم","52105900","90 days"
"746","90 يوم","52111200","90 days"
"747","90 يوم","52111900","90 days"
"748","90 يوم","52113100","90 days"
"749","90 يوم","52113900","90 days"
"750","90 يوم","52114100","90 days"
"751","90 يوم","52114200","90 days"
"752","90 يوم","52114300","90 days"
"753","90 يوم","52114900","90 days"
"754","90 يوم","52115100","90 days"
"755","90 يوم","52115200","90 days"
"756","90 يوم","52115900","90 days"
"757","90 يوم","52121100","90 days"
"758","90 يوم","52121200","90 days"
"759","90 يوم","52121300","90 days"
"760","90 يوم","52121400","90 days"
"761","90 يوم","52121500","90 days"
"762","90 يوم","52122300","90 days"
"763","90 يوم","52122400","90 days"
"764","90 يوم","52122500","90 days"
"765","90 يوم","53091100","90 days"
"766","90 يوم","53091900","90 days"
"767","90 يوم","53092900","90 days"
"768","90 يوم","53101000","90 days"
"769","90 يوم","53110000","90 days"
"770","90 يوم","54072000","90 days"
"771","90 يوم","54073000","90 days"
"772","90 يوم","54074200","90 days"
