id,export,export_en,id_exportfee_id
639,مسموح التصدير,Export allowed,12071000
640,ممنوع التصدير,Export allowed,12072100
641,ممنوع التصدير,Export allowed,12072900
642,مسموح التصدير,Export allowed,12073000
643,مسموح التصدير,Export allowed,12074000
644,مسموح التصدير,Export allowed,12075000
645,مسموح التصدير,Export allowed,12076000
646,مسموح التصدير,Export allowed,12077000
647,مسموح التصدير,Export allowed,12079100
648,مسموح التصدير,Export allowed,12079900
649,مسموح التصدير,Export allowed,12081000
650,مسموح التصدير,Export allowed,12089000
651,مسموح التصدير,Export allowed,12091000
652,مسموح التصدير,Export allowed,12092100
653,مسموح التصدير,Export allowed,12092200
