"id","created_at","material","name","band","clearanceFeeExport","priceImport","clearanceFee","priceFull","type","priceExport","note","","",""
"92085","6/8/2025","[02072400] لحوم وأحشاء وأطراف,غير مقطعة,صالحة للأكل,من ديوك حبش,طازجة أو مبردة","لحوم وأحشاء وأطراف,غير مقطعة,صالحة للأكل,من ديوك حبش,طازجة أو مبردة","02072400","2","0","0","0","وزن","0","","","",""
"92086","6/8/2025","[02072500] لحوم وأحشاء وأطراف,غير مقطعة,صالحة للأكل,من ديوك حبش,مجمدة","لحوم وأحشاء وأطراف,غير مقطعة,صالحة للأكل,من ديوك حبش,مجمدة","02072500","2","75","25","100","وزن","0","","","",""
"92087","6/8/2025","[02072600] قطع وأحشاء وأطراف صالحة للأكل,من ديوك حبش, طازجة أومبردة","قطع وأحشاء وأطراف صالحة للأكل,من ديوك حبش, طازجة أومبردة","02072600","2","0","0","0","وزن","0","","","",""
"92088","6/8/2025","[02072700] قطع وأحشاء وأطراف صالحة للأكل,من ديوك حبش,مجمدة.","قطع وأحشاء وأطراف صالحة للأكل,من ديوك حبش,مجمدة.","02072700","2","75","25","100","وزن","0","","","",""
"92089","6/8/2025","[02074100] من بط غير مقطعة لاجزاء طازجة او مبردة","من بط غير مقطعة لاجزاء طازجة او مبردة","02074100","2","75","25","100","وزن","0","","","",""
"92090","6/8/2025","[02074200] من بط غير مقطعة لاجزاء ,مجمدة","من بط غير مقطعة لاجزاء ,مجمدة","02074200","2","75","25","100","وزن","0","","","",""
"97353","6/8/2025","[87169000] أجزاء","أجزاء","87169000","2","225","75","300","وزن","0","","","",""
"92091","6/8/2025","[02074300] من بط أكباد دسمة , طازجة او مبردة","من بط أكباد دسمة , طازجة او مبردة","02074300","2","75","25","100","وزن","0","","","",""
"92092","6/8/2025","[02074400] من بط , غيرها طازجة أو مبردة","من بط , غيرها طازجة أو مبردة","02074400","2","75","25","100","وزن","0","","","",""
"92093","6/8/2025","[02074500] غيرها مجمدة","غيرها مجمدة","02074500","2","75","25","100","وزن","0","","","",""
"92094","6/8/2025","[02075100] غير مقطعة لاجزاء , طازجة او مبردة","غير مقطعة لاجزاء , طازجة او مبردة","02075100","2","75","25","100","وزن","0","","","",""
"92095","6/8/2025","[02075200] غير مقطعة لاجزاء , مجمدة","غير مقطعة لاجزاء , مجمدة","02075200","2","75","25","100","وزن","0","","","",""
"92096","6/8/2025","[02075300] من اكباد دسمة طازجة او مبردة","من اكباد دسمة طازجة او مبردة","02075300","2","75","25","100","وزن","0","","","",""
"92097","6/8/2025","[02075400] غيرها .طازجة او مبردة","غيرها .طازجة او مبردة","02075400","2","75","25","100","وزن","0","","","",""
"92098","6/8/2025","[02075500] غيرها , مجمدة","غيرها , مجمدة","02075500","2","75","25","100","وزن","0","","","",""
"92099","6/8/2025","[02076000] من دجاج غينيا (غرغر):","من دجاج غينيا (غرغر):","02076000","2","75","25","100","وزن","0","","","",""
"92100","6/8/2025","[02081000] لحوم وأحشاءوأطراف,صالحةللأكل,من أرانب أليفة أو برية,طازجة أو مبردة أو مجمدة","لحوم وأحشاءوأطراف,صالحةللأكل,من أرانب أليفة أو برية,طازجة أو مبردة أو مجمدة","02081000","2","75","25","100","وزن","0","","","",""
"92101","6/8/2025","[02083000] لحوم واحشاء واطراف اخر صالحة للاكل طازجة او  مبردة او مجمدةمن حيوانات رئيسة","لحوم واحشاء واطراف اخر صالحة للاكل طازجة او  مبردة او مجمدةمن حيوانات رئيسة","02083000","2","75","25","100","وزن","0","","","",""
"92102","6/8/2025","[02084000] من حيتان ودلافين ودلافين صغيرة (خنازير البحر) (ثدييّات من فصيلة الحيتان)?خرفان البحر والآطم(ثديات من فصيلة الخيلانيات أو آبقار البحر""Sirenia"") ، فقمات وأسود البحر وفظ(مورس)(ثديات من الفصيلة الفرعية ل)","من حيتان ودلافين ودلافين صغيرة (خنازير البحر) (ثدييّات من فصيلة الحيتان)?خرفان البحر والآطم(ثديات من فصيلة الخيلانيات أو آبقار البحر""Sirenia"") ، فقمات وأسود البحر وفظ(مورس)(ثديات من الفصيلة الفرعية ل)","02084000","2","75","25","100","وزن","0","","","",""
"92103","6/8/2025","[02085000] لحوم واحشاء واطراف اخر صالحة للاكل طازجة او  مبردة او مجمدةمن زواحف","لحوم واحشاء واطراف اخر صالحة للاكل طازجة او  مبردة او مجمدةمن زواحف","02085000","2","75","25","100","وزن","0","","","",""
"92104","6/8/2025","[02086000] من جمال وغيرها من فصيلة الإبل (camelidae)","من جمال وغيرها من فصيلة الإبل (camelidae)","02086000","2","75","25","100","وزن","0","","","",""
"92105","6/8/2025","[02089000] لحوم واحشاء واطراف اخر صالحة للاكل طازجة او  مبردة او مجمدة (غ م س)","لحوم واحشاء واطراف اخر صالحة للاكل طازجة او  مبردة او مجمدة (غ م س)","02089000","2","75","25","100","وزن","0","","","",""
"92106","6/8/2025","[02099000] دهن طيور دواجن غير مستخلص بالاذابة او بطرق الاستخلاص الاخر طازجا مبردا مجمدا مملحا","دهن طيور دواجن غير مستخلص بالاذابة او بطرق الاستخلاص الاخر طازجا مبردا مجمدا مملحا","02099000","2","75","25","100","وزن","0","","","",""
"92107","6/8/2025","[02102000] لحوم فصيلة الأبقار مملحة أو في ماء مملح? مجففة أو مدخنة صالحة للأكل (غ م س).","لحوم فصيلة الأبقار مملحة أو في ماء مملح? مجففة أو مدخنة صالحة للأكل (غ م س).","02102000","2","375","125","500","وزن","0","","","",""
"92108","6/8/2025","[02109100] لحوم وأحشاء وأطراف? مملحة مجففة? أو مدخنة? دقيق ومساحيق?  صالحة للأكل من الرئيسات","لحوم وأحشاء وأطراف? مملحة مجففة? أو مدخنة? دقيق ومساحيق?  صالحة للأكل من الرئيسات","02109100","2","375","125","500","وزن","0","","","",""
"92109","6/8/2025","[02109200] من حيتان ودلافين ودلافين صغيرة (خنازير البحر) (ثدييّات من فصيلة الحيتان)?خرفان البحر والأظم (ثديات من فصيلة الخيلانيات أو أبقار البحر""Sirenia"") ، فقمات ، أسود البحر وفظ(مورس)(ثدييات من الفصيلة الفرعي)","من حيتان ودلافين ودلافين صغيرة (خنازير البحر) (ثدييّات من فصيلة الحيتان)?خرفان البحر والأظم (ثديات من فصيلة الخيلانيات أو أبقار البحر""Sirenia"") ، فقمات ، أسود البحر وفظ(مورس)(ثدييات من الفصيلة الفرعي)","02109200","2","375","125","500","وزن","0","","","",""
"92110","6/8/2025","[02109300] لحوم وأحشاء وأطراف? مملحة مجففة? أو مدخنة? دقيق ومساحيق?  صالحة للأكل من الزواحف","لحوم وأحشاء وأطراف? مملحة مجففة? أو مدخنة? دقيق ومساحيق?  صالحة للأكل من الزواحف","02109300","2","375","125","500","وزن","0","","","",""
"92111","6/8/2025","[02109900] غيرها:","غيرها:","02109900","2","375","125","500","وزن","0","","","",""
"92112","6/8/2025","[03011100] في مياه عذبة:","في مياه عذبة:","03011100","2","150","50","200","وزن","0","","","",""
"92113","6/8/2025","[03011900] غيرها:","غيرها:","03011900","2","150","50","200","وزن","0","","","",""
"92114","6/8/2025","[03019100] سمك الترويت (Salmo trutta ,Oncorhynchus mykiss , Oncorhynchus clarki ,Oncorhynchus aguabonita, Oncorhynchus gilae , Oncorhynchus apache , Oncorhynchus  chrysogaster).","سمك الترويت (Salmo trutta ,Oncorhynchus mykiss , Oncorhynchus clarki ,Oncorhynchus aguabonita, Oncorhynchus gilae , Oncorhynchus apache , Oncorhynchus  chrysogaster).","03019100","2","150","50","200","وزن","0","","","",""
"92115","6/8/2025","[03019200] .(Anguilla spp.) سمك الأنقل?س",".(Anguilla spp.) سمك الأنقل?س","03019200","2","150","50","200","وزن","0","","","",""
"92116","6/8/2025","[03019300] سمك الشبوط(Cyprinus spp ,Carassius spp , Hypophthalmichthys spp , Ctenopharyngodon idellus ,Mylopharyngodon piceus, Cirrhinus spp ,Osteochilus hasselti , Labeo spp ,Catla catla , Megalobrama spp , Leptobarbus hoeveni)
","سمك الشبوط(Cyprinus spp ,Carassius spp , Hypophthalmichthys spp , Ctenopharyngodon idellus ,Mylopharyngodon piceus, Cirrhinus spp ,Osteochilus hasselti , Labeo spp ,Catla catla , Megalobrama spp , Leptobarbus hoeveni)
","03019300","2","150","50","200","وزن","0","","","",""
"92117","6/8/2025","[03019400] سمك التونة  الاطلنطي والهادي  ذات الزعنفة الزرقاء "" Bluefin ""( ""Thunnus, Thynnus, Thunnus orintalis"" )","سمك التونة  الاطلنطي والهادي  ذات الزعنفة الزرقاء "" Bluefin ""( ""Thunnus, Thynnus, Thunnus orintalis"" )","03019400","2","150","50","200","وزن","0","","","",""
"92118","6/8/2025","[03019500] سمك تونة الجنوب ذات الزعنفة الزرقاء (""Thunnus maccoyii"").","سمك تونة الجنوب ذات الزعنفة الزرقاء (""Thunnus maccoyii"").","03019500","2","150","50","200","وزن","0","","","",""
"92119","6/8/2025","[03019900] أسماك حية ,عدا أسماك ( الزينة , الترويت, الأنقليس  والشبوط والتونة)","أسماك حية ,عدا أسماك ( الزينة , الترويت, الأنقليس  والشبوط والتونة)","03019900","2","150","50","200","وزن","0","","","",""
"92120","6/8/2025","[03021100] سمك الترويت (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache, Oncorhynchus chrysogaster)","سمك الترويت (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache, Oncorhynchus chrysogaster)","03021100","2","150","50","200","وزن","0","","","",""
"92121","6/8/2025","[03021300] سلمون المحيط الهادي(Oncorhynchus nerka ,Oncorhynchus gorbucsha ,Oncorhynchus keta ,Oncorhynchus tschawytsha,Oncorhynchus kisutch ,Oncorhynchus masou  , Oncorhynchus Rhodurus)","سلمون المحيط الهادي(Oncorhynchus nerka ,Oncorhynchus gorbucsha ,Oncorhynchus keta ,Oncorhynchus tschawytsha,Oncorhynchus kisutch ,Oncorhynchus masou  , Oncorhynchus Rhodurus)","03021300","2","150","50","200","وزن","0","","","",""
"92122","6/8/2025","[03021400] سلمون الأطلنطي(Salmo salar) وسلمون الدانوب(Hucho hucho)","سلمون الأطلنطي(Salmo salar) وسلمون الدانوب(Hucho hucho)","03021400","2","150","50","200","وزن","0","","","",""
"92123","6/8/2025","[03021900] سمك السلمون طازج أو مبرد عدا(الترويت وسالمون المحيط الهادي) باستثناء احشاء السمك الصالحة للاكل","سمك السلمون طازج أو مبرد عدا(الترويت وسالمون المحيط الهادي) باستثناء احشاء السمك الصالحة للاكل","03021900","2","150","50","200","وزن","0","","","",""
"92124","6/8/2025","[03022100] أسماك القفندر (Reinhardtius hippoglossoides, Hippoglossus stenolepis, Hippoglossus Hippoglossus).","أسماك القفندر (Reinhardtius hippoglossoides, Hippoglossus stenolepis, Hippoglossus Hippoglossus).","03022100","2","150","50","200","وزن","0","","","",""
"92125","6/8/2025","[03022200] سمك هوشع (Pleuronectes platessa).","سمك هوشع (Pleuronectes platessa).","03022200","2","150","50","200","وزن","0","","","",""
"92126","6/8/2025","[03022300] سمك موسى (Solea).","سمك موسى (Solea).","03022300","2","150","50","200","وزن","0","","","",""
"92127","6/8/2025","[03022400] سمك الترس (تربوت ""turbots"") (Psetta maxima).","سمك الترس (تربوت ""turbots"") (Psetta maxima).","03022400","2","150","50","200","وزن","0","","","",""
"92128","6/8/2025","[03022900] أسماك مفلطحة أخر,طازجة أو مبردة,(عدا سمـــك القفندر وسمك هوشع وسمك موسى) عدا الشرائح و..","أسماك مفلطحة أخر,طازجة أو مبردة,(عدا سمـــك القفندر وسمك هوشع وسمك موسى) عدا الشرائح و..","03022900","2","150","50","200","وزن","0","","","",""
"92129","6/8/2025","[03023100] سمك تونة بيضاء (Thunnus alalunga).","سمك تونة بيضاء (Thunnus alalunga).","03023100","2","150","50","200","وزن","0","","","",""
"92130","6/8/2025","[03023200] سمك تونة ذات زعانف صفراء ( Thunnus albacares).","سمك تونة ذات زعانف صفراء ( Thunnus albacares).","03023200","2","150","50","200","وزن","0","","","",""
"92131","6/8/2025","[03023300] سمك ليستاوس (بونيت مخطط البطن ) (Katsuwonus Pelamis)","سمك ليستاوس (بونيت مخطط البطن ) (Katsuwonus Pelamis)","03023300","2","150","50","200","وزن","0","","","",""
"92132","6/8/2025","[03023400] سمك التونة ذات العينين الكبيرتين ""Bigeye"" (""Thunnus obesus"")","سمك التونة ذات العينين الكبيرتين ""Bigeye"" (""Thunnus obesus"")","03023400","2","150","50","200","وزن","0","","","",""
